Time,S0Read,S0Write,S1Read,S1Write
07:43:45,4968823.00,6845976.50,104189.25,71926.72
07:43:47,612.09,474.30,213.32,191.70
07:43:49,1729.57,1461.97,629.23,462.76
07:43:51,552.38,484.89,2087.41,2221.55
07:43:53,30.23,19.03,365.36,274.11
07:43:55,20.43,15.38,20.68,21.47
07:43:57,14.78,14.54,27.73,23.55
07:43:59,59.62,39.78,64.04,60.08
07:44:01,373.46,296.97,366.52,311.03
07:44:03,472.60,387.61,754.17,636.97
07:44:05,278.61,240.19,272.01,228.85
07:44:07,25.35,24.23,49.70,37.66
07:44:09,1407.73,1498.39,2601.82,3039.69
07:44:11,3272.31,3481.49,4581.29,4034.10
07:44:13,15.47,15.14,28.14,23.59
07:44:15,240.42,28.48,565.99,33.56
07:44:17,168.11,26.44,406.59,34.70
07:44:19,93.09,18.55,186.19,20.23
07:44:21,6492.23,5619.99,5287.46,4264.27
07:44:23,2254.47,2312.00,1790.71,1201.89
07:44:25,2148.15,2215.85,1587.39,1064.42
07:44:27,2343.40,2327.48,1765.07,1164.77
07:44:29,2304.61,2321.83,1758.06,1151.25
07:44:31,2414.68,2313.66,1803.17,1136.36
07:44:33,2204.56,2221.76,1770.42,1103.37
07:44:35,2296.34,2299.47,1720.74,1118.34
07:44:37,2288.20,2304.62,1768.23,1149.34
07:44:39,2330.67,2329.67,1782.53,1150.45
07:44:41,2302.69,2269.20,1733.25,1113.52
07:44:43,2949.81,2430.87,2322.63,1247.57
07:44:45,2445.30,2361.18,1861.18,1176.33
07:44:47,2298.12,2300.33,1763.99,1136.81
07:44:49,2278.97,2281.75,1719.16,1114.01
07:44:51,2229.12,2248.56,1655.35,1084.70
07:44:53,2363.31,2326.58,1750.05,1137.82
07:44:55,2364.90,2324.93,1781.08,1136.29
07:44:57,2287.47,2271.07,1707.58,1114.62
07:44:59,2328.96,2235.94,1690.53,1076.97
07:45:01,2333.37,2303.78,1721.55,1115.91
07:45:03,2631.29,2352.58,2163.52,1190.45
07:45:05,2247.47,2261.87,1720.73,1105.19
07:45:07,2180.34,2235.33,1700.62,1098.46
07:45:09,2231.71,2280.78,1746.47,1108.77
07:45:11,2286.69,2304.79,1768.90,1115.95
07:45:13,2253.42,2275.65,1772.16,1125.14
07:45:15,2182.87,2234.65,1707.74,1090.50
07:45:17,2214.40,2258.95,1725.49,1096.73
07:45:19,2284.16,2304.48,1776.86,1119.62
07:45:21,2258.35,2291.37,1764.56,1123.87
07:45:23,2195.18,2243.50,1739.51,1118.17
07:45:25,2216.06,2258.40,1709.32,1093.50
