Time,S0Read,S0Write,S1Read,S1Write
10:35:42,68.86,70.25,32.31,33.03
10:35:44,68.14,70.22,33.72,34.30
10:35:46,72.15,73.53,31.61,33.25
10:35:48,67.77,69.69,31.82,32.94
10:35:50,75.81,74.91,43.77,39.05
10:35:52,69.04,70.50,33.43,34.26
10:35:54,67.88,69.99,33.39,34.42
10:35:56,71.84,73.30,33.02,34.51
10:35:58,71.93,73.40,60.01,35.97
10:36:00,78.33,76.64,48.01,40.20
10:36:02,68.57,69.80,31.67,32.24
10:36:04,76.08,75.39,35.58,35.39
10:36:06,75.19,74.89,34.50,34.62
10:36:08,67.84,69.77,32.28,33.69
10:36:10,83.02,79.01,65.10,46.52
10:36:12,68.79,70.36,34.21,34.24
10:36:14,67.01,69.00,51.15,33.80
10:36:16,73.24,73.76,34.44,35.15
10:36:18,67.08,69.17,32.43,33.84
10:36:20,75.87,75.05,41.83,37.41
10:36:22,74.71,76.65,37.64,34.84
10:36:24,67.70,69.52,31.24,32.57
10:36:26,77.62,76.59,32.36,33.49
10:36:28,67.46,69.77,32.00,33.00
10:36:30,79.96,78.90,63.73,39.41
10:36:32,69.04,70.53,32.91,33.56
10:36:34,67.49,69.67,32.68,34.01
10:36:36,74.64,75.60,33.07,34.24
10:36:38,67.69,69.82,32.67,34.07
10:36:40,77.48,76.15,43.91,39.70
10:36:42,68.27,69.99,32.31,33.12
10:36:44,67.73,69.81,52.05,36.13
10:36:46,78.84,80.18,50.58,43.15
10:36:48,68.50,70.45,33.86,34.02
10:36:50,81.34,78.55,46.56,40.00
10:36:52,68.01,69.92,31.90,32.95
10:36:54,67.44,69.30,32.50,34.19
10:36:56,75.61,75.83,33.97,34.71
10:36:58,68.42,70.12,42.27,35.90
10:37:00,79.79,77.70,66.71,41.44
10:37:02,68.47,70.03,35.10,34.77
10:37:04,67.30,69.49,32.45,33.74
10:37:06,73.07,74.20,33.60,34.69
10:37:08,67.82,69.91,33.35,34.27
10:37:10,82.48,78.51,64.37,46.23
10:37:12,68.26,69.90,34.12,34.83
10:37:14,70.01,71.73,32.07,33.30
10:37:16,72.41,72.87,51.93,30.55
10:37:18,66.60,67.91,29.81,29.94
10:37:20,76.23,73.80,39.91,33.91
10:37:22,72.81,74.35,34.11,31.23
10:37:25,66.70,68.59,31.16,31.89
10:37:27,75.69,74.04,29.94,29.94
10:37:29,65.43,66.97,27.85,27.78
10:37:31,78.04,76.52,42.75,35.44
10:37:33,66.81,67.65,49.39,29.17
10:37:35,66.29,67.96,30.66,31.14
10:37:37,74.02,74.53,32.24,33.01
10:37:39,66.20,68.02,29.40,29.85
10:37:41,75.81,74.17,39.98,34.61
10:37:43,66.76,67.54,27.84,26.81
10:37:45,65.89,67.59,29.04,29.67
10:37:47,70.78,70.87,47.50,28.19
10:37:49,65.84,66.97,28.67,28.98
10:37:51,74.24,72.20,39.30,33.06
10:37:53,67.69,68.97,30.87,30.46
10:37:55,67.02,68.84,30.32,31.67
10:37:57,70.73,71.77,30.96,31.12
10:37:59,70.14,71.22,31.17,31.17
10:38:01,78.54,75.90,44.95,37.98
10:38:03,68.57,70.03,52.90,34.05
10:38:05,73.88,73.53,34.41,34.46
10:38:07,73.43,72.06,29.75,28.62
10:38:09,66.71,67.91,32.16,31.86
10:38:11,82.21,77.21,61.87,41.57
10:38:13,68.43,69.85,31.46,31.29
10:38:15,66.74,68.29,30.94,31.08
10:38:17,71.47,72.26,29.91,29.03
10:38:19,66.46,67.88,50.31,30.44
10:38:21,55.83,53.05,37.36,32.50
10:38:23,22.56,22.70,23.62,18.75
10:38:25,14.43,14.44,15.71,15.61
10:38:27,23.65,20.92,15.50,15.78
10:38:29,14.46,14.50,14.66,15.22
10:38:31,24.06,21.75,21.63,18.57
10:38:33,14.70,14.36,14.59,15.06
10:38:35,14.07,14.16,17.93,14.99
10:38:37,19.22,18.40,15.38,15.66
10:38:39,14.16,14.34,15.22,15.59
10:38:41,20.11,18.40,18.15,17.01
10:38:43,14.62,14.29,15.30,15.82
10:38:45,14.14,14.02,14.80,15.36
10:38:47,17.84,17.42,15.14,15.67
10:38:49,13.97,14.09,14.83,15.45
10:38:51,19.65,18.16,18.59,17.01
10:38:53,14.98,14.81,15.21,15.78
10:38:55,14.17,14.38,14.70,15.34
10:38:57,17.67,17.74,15.49,15.70
10:38:59,14.37,14.79,15.17,15.63
10:39:01,21.08,19.22,21.18,17.50
10:39:03,14.74,14.42,14.44,14.78
10:39:05,14.29,14.43,14.88,15.22
10:39:07,17.80,17.40,14.81,15.00
10:39:09,14.46,14.64,15.47,15.84
10:39:11,24.30,19.92,36.00,20.82
10:39:13,14.73,14.32,15.54,15.70
10:39:15,14.25,14.15,15.39,15.81
10:39:17,17.63,17.23,16.09,15.95
10:39:19,13.79,13.95,14.70,15.33
10:39:21,23.90,22.09,23.53,20.08
10:39:23,42.91,38.52,150.65,123.62
10:39:25,46.93,40.70,47.11,48.61
10:39:27,63.54,53.58,61.01,47.40
10:39:29,57.08,50.79,44.39,44.71
10:39:31,76.95,66.89,55.26,47.53
10:39:33,82.47,76.97,45.20,44.79
10:39:35,82.22,76.66,43.80,43.63
10:39:37,90.60,83.69,47.01,47.22
10:39:39,83.65,79.14,44.71,45.38
10:39:41,95.18,86.93,55.17,49.34
10:39:43,91.66,86.81,44.31,43.67
10:39:45,90.37,85.70,42.53,42.15
10:39:47,97.75,92.16,44.88,44.62
10:39:49,94.03,89.27,98.82,48.20
10:39:51,103.96,95.99,59.45,52.26
10:39:53,98.88,94.18,45.01,45.10
10:39:55,99.05,94.71,47.23,47.80
10:39:57,101.92,96.41,44.34,44.79
10:39:59,102.30,97.42,47.01,46.00
10:40:01,112.75,103.43,60.82,53.06
