Linux 4.18.0-348.el8.x86_64 (localhost.localdomain) 	11/29/22 	_x86_64_	(64 CPU)

23:36:00     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
23:36:02      55    0.00    0.00    0.50    0.00    0.50    0.00    0.00    0.00    0.00   99.00
23:36:02      56    0.50    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.00
23:36:02      57    0.00    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.50
23:36:02      58   27.86    0.00    2.49    0.00    0.50    0.00    0.00    0.00    0.00   69.15
23:36:02      59    0.50    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.00
23:36:02      60    0.50    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.00
23:36:02      61    0.50    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.00
23:36:02      62    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:36:02      63   11.94    0.00    2.49    0.00    0.50    0.00    0.00    0.00    0.00   85.07

23:36:02     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
23:36:04     all    0.01    0.00    0.01    0.00    0.01    0.00    0.00    0.00    0.00   99.98
23:36:04       0    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:36:04       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:36:04       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:36:04       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:36:04       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:36:04       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:36:04       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:36:04       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:36:04       8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:36:04       9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:36:04      10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:36:04      11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:36:04      12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:36:04      13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:36:04      14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:36:04      15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:36:04      16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:36:04      17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:36:04      18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:36:04      19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:36:04      20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:36:04      21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:36:04      22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:36:04      23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:36:04      24    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:36:04      25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:36:04      26    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:36:04      27    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:36:04      28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:36:04      29    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:36:04      30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:36:04      31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:36:04      32    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:36:04      33    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:36:04      34    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:36:04      35    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:36:04      36    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:36:04      37    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:36:04      38    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:36:04      39    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:36:04      40    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:36:04      41    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:36:04      42    0.50    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.50
23:36:04      43    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:36:04      44    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:36:04      45    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:36:04      46    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:36:04      47    0.00    0.00    0.00    0.00    0.50    0.00    0.00    0.00    0.00   99.50
23:36:04      48    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:36:04      49    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:36:04      50    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:36:04      51    0.00    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.50
23:36:04      52    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:36:04      53    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:36:04      54    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:36:04      55    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:36:04      56    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:36:04      57    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:36:04      58    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:36:04      59    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:36:04      60    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:36:04      61    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:36:04      62    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:36:04      63    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

23:36:04     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
23:36:06     all    0.00    0.00    0.00    0.00    0.01    0.00    0.00    0.00    0.00   99.99
23:36:06       0    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:36:06       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:36:06       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:36:06       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:36:06       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:36:06       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:36:06       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:36:06       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:36:06       8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:36:06       9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:36:06      10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:36:06      11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:36:06      12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:36:06      13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:36:06      14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:36:06      15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:36:06      16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:36:06      17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:36:06      18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:36:06      19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:36:06      20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:36:06      21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:36:06      22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:36:06      23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:36:06      24    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:36:06      25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:36:06      26    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:36:06      27    0.00    0.00    0.00    0.00    0.50    0.00    0.00    0.00    0.00   99.50
23:36:06      28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:36:06      29    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:36:06      30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:36:06      31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:36:06      32    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:36:06      33    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:36:06      34    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:36:06      35    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:36:06      36    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:36:06      37    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:36:06      38    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:36:06      39    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:36:06      40    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:36:06      41    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:36:06      42    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:36:06      43    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:36:06      44    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:36:06      45    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:36:06      46    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:36:06      47    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:36:06      48    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:36:06      49    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:36:06      50    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:36:06      51    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:36:06      52    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:36:06      53    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:36:06      54    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:36:06      55    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:36:06      56    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:36:06      57    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:36:06      58    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:36:06      59    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:36:06      60    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
