Linux 4.18.0-348.el8.x86_64 (localhost.localdomain) 	11/30/22 	_x86_64_	(64 CPU)

08:27:14     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:27:16     all    1.22    0.00    0.98    0.00    0.04    0.03    0.00    0.00    0.00   97.73
08:27:16       0    0.50    0.00    0.50    0.00    0.00    0.50    0.00    0.00    0.00   98.50
08:27:16       1    0.00    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.50
08:27:16       2    0.50    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.00
08:27:16       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:27:16       4    0.00    0.00    0.00    0.00    0.00    0.50    0.00    0.00    0.00   99.50
08:27:16       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:27:16       6    0.50    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.00
08:27:16       7    0.50    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.00
08:27:16       8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:27:16       9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:27:16      10    0.00    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.50
08:27:16      11    0.00    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.50
08:27:16      12    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
08:27:16      13    0.50    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.01
08:27:16      14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:27:16      15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:27:16      16    1.01    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   98.49
08:27:16      17    0.50    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.50
