Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,20182036,18693652,5612,0,810786,1291650304,1196752896
1,20479692,18684136,5546,0,788344,1310700288,1196139648
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,20510534,18580942,5534,0,781588,1312674176,1189534464
1,20106324,18671160,5596,0,821036,1286804736,1195312384
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,20321294,18726566,6456,0,819412,1300562816,1198913408
1,20462980,18644882,5498,0,791722,1309630720,1193624320
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,20503184,18688980,5416,0,812086,1312203776,1196441344
1,20295652,18696758,5496,0,787766,1298921728,1196944256
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,20252268,18838122,9692,0,828046,1296145152,1206260096
1,20358140,18674766,5442,0,799218,1302920960,1195533312
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,20460218,18685192,5538,0,801070,1309453952,1196206720
1,20245526,18646382,5512,0,794400,1295713664,1193721216
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,20297342,18673804,5562,0,796782,1299029888,1195479424
1,20379782,18601336,5544,0,805980,1304306048,1190840320
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,21717498,18673250,5684,0,809924,1389919872,1195451776
1,20316064,18645030,5490,0,795500,1300228096,1193633280
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,20256496,18687020,5516,0,806534,1296415744,1196322304
1,20315402,18662540,5602,0,795570,1300185728,1194761088
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,20515132,18675748,45662,0,823236,1312968448,1198170240
1,20305594,18633460,5538,0,855090,1299558016,1192895872
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,28593808,18750248,11788,0,827218,1830003712,1200770304
1,20477446,18683748,5614,0,788358,1310556544,1196119168
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,23546232,18764964,8426,0,804290,1506958848,1201496960
1,20476452,18690004,5542,0,798204,1310492928,1196514944
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,34918832,18666910,5374,0,793620,2234805248,1195026176
1,20192878,18667986,5496,0,806808,1292344192,1195102848
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,20349020,18691888,5612,0,807504,1302337280,1196640000
1,20379800,18646042,5386,0,792312,1304307200,1193691392
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,20440026,18627802,5502,0,813118,1308161664,1192531456
1,20350800,18693622,5594,0,785400,1302451200,1196749824
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,20198070,18722290,5502,0,793552,1292676480,1198578688
1,20420232,18627098,5500,0,808088,1306894848,1192486272
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,20530154,18647844,5520,0,794184,1313929856,1193815296
1,20124918,18642102,5470,0,808542,1287994752,1193444608
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,20393162,18749868,5538,0,810280,1305162368,1200345984
1,20408772,18599132,5516,0,792300,1306161408,1190697472
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,20557782,18662104,5502,0,790456,1315698048,1194726784
1,20329324,18671116,5534,0,807360,1301076736,1195305600
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,20130136,18661514,5598,0,804746,1288328704,1194695168
1,20543660,18666264,5490,0,795342,1314794240,1194992256
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,20393368,18603104,5590,0,795962,1305175552,1190956416
1,20068714,18704332,5590,0,794792,1284397696,1197435008
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,20345386,18730804,5562,0,794520,1302104704,1199127424
1,20350728,18504690,5586,0,801350,1302446592,1184657664
Skt,PCIRdCur,ItoM,ItoMCacheNear,UCRdF,WiL,PCIe Rd (B),PCIe Wr (B)
0,20527622,18652752,6734,0,799306,1313767808,1194207104
1,20293290,18638148,5534,0,805342,1298770560,1193195648
